https://www.nrel.gov/grid/solar-resource/spectra-wehrli.html
 	  nm	  W/sm/nm   W/sm
     579.5     1.830  4.434E+2
     580.5     1.840  4.452E+2
     581.5     1.855  4.471E+2
     582.5     1.875  4.489E+2
     583.5     1.859  4.508E+2
     584.5     1.862  4.526E+2
     585.5     1.786  4.544E+2
     586.5     1.832  4.563E+2
     587.5     1.850  4.581E+2
     588.5     1.752  4.599E+2
     589.5     1.614  4.615E+2
     590.5     1.815  4.633E+2
     591.5     1.789  4.651E+2
     592.5     1.810  4.669E+2
     593.5     1.798  4.687E+2
     594.5     1.776  4.705E+2
     595.5     1.785  4.723E+2
     596.5     1.807  4.741E+2
     597.5     1.783  4.758E+2
     598.5     1.760  4.776E+2
     599.5     1.777  4.794E+2
     600.5     1.748  4.811E+2
     601.5     1.753  4.829E+2
     602.5     1.721  4.846E+2
     603.5     1.789  4.864E+2
     604.5     1.779  4.882E+2
     605.5     1.766  4.899E+2
     606.5     1.762  4.917E+2
     607.5     1.760  4.935E+2
     608.5     1.745  4.952E+2
     609.5     1.746  4.969E+2
     610.5     1.705  4.987E+2
     611.5     1.748  5.004E+2
     612.5     1.707  5.021E+2
     613.5     1.685  5.038E+2
     614.5     1.715  5.055E+2
     615.5     1.715  5.072E+2
     616.5     1.611  5.088E+2
     617.5     1.709  5.105E+2
     618.5     1.726  5.123E+2
     619.5     1.709  5.140E+2
     620.5     1.736  5.157E+2
     621.5     1.692  5.174E+2
     622.5     1.715  5.191E+2
     623.5     1.668  5.208E+2
     624.5     1.658  5.224E+2
     625.5     1.634  5.241E+2
     626.5     1.699  5.258E+2
     627.5     1.699  5.275E+2
     628.5     1.699  5.292E+2
     629.5     1.679  5.317E+2
     631.0     1.641  5.350E+2
     633.0     1.653  5.383E+2
     635.0     1.658  5.416E+2
     637.0     1.656  5.449E+2
     639.0     1.653  5.482E+2
     641.0     1.616  5.514E+2
     643.0     1.623  5.547E+2
     645.0     1.629  5.579E+2
     647.0     1.605  5.612E+2
     649.0     1.560  5.643E+2
     651.0     1.608  5.675E+2
     653.0     1.601  5.707E+2
     655.0     1.534  5.738E+2 
     657.0     1.386  5.765E+2
     659.0     1.551  5.796E+2
     661.0     1.573  5.828E+2
     663.0     1.557  5.859E+2
     665.0     1.562  5.890E+2
     667.0     1.537  5.921E+2
     669.0     1.548  5.952E+2
     671.0     1.518  5.982E+2
     673.0     1.523  6.013E+2
     675.0     1.512  6.043E+2
     677.0     1.510  6.073E+2
     679.0     1.500  6.103E+2
     681.0     1.494  6.133E+2
     683.0     1.481  6.163E+2
     685.0     1.457  6.192E+2
     687.0     1.469  6.221E+2
     689.0     1.463  6.250E+2
     691.0     1.450  6.279E+2
     693.0     1.450  6.308E+2
     695.0     1.438  6.337E+2
     697.0     1.418  6.365E+2
     699.0     1.427  6.394E+2
     701.0     1.388  6.422E+2
     703.0     1.390  6.450E+2
     705.0     1.417  6.478E+2
     707.0     1.402  6.506E+2
     709.0     1.386  6.534E+2
     711.0     1.387  6.561E+2
     713.0     1.375  6.589E+2
     715.0     1.368  6.616E+2
     717.0     1.355  6.643E+2
     719.0     1.329  6.670E+2
     721.0     1.332  6.697E+2
     723.0     1.349  6.724E+2
     725.0     1.351  6.751E+2
     727.0     1.347  6.778E+2
     729.0     1.320  6.804E+2
     731.0     1.327  6.830E+2
     733.0     1.319  6.857E+2
     735.0     1.310  6.883E+2
     737.0     1.308  6.909E+2
     739.0     1.279  6.935E+2
     741.0     1.259  6.960E+2
     743.0     1.287  6.986E+2
     745.0     1.280  7.011E+2
     747.0     1.284  7.037E+2
     749.0     1.271  7.062E+2
     751.0     1.263  7.088E+2
     753.0     1.260  7.113E+2
     755.0     1.256  7.138E+2
     757.0     1.249  7.163E+2
     759.0     1.241  7.188E+2
     761.0     1.238  7.213E+2
     763.0     1.242  7.237E+2
     765.0     1.222  7.262E+2
     767.0     1.186  7.286E+2
     769.0     1.204  7.310E+2
     771.0     1.205  7.334E+2
     773.0     1.209  7.358E+2
     775.0     1.189  7.382E+2
     777.0     1.197  7.406E+2
     779.0     1.188  7.430E+2
     781.0     1.188  7.453E+2
     783.0     1.177  7.477E+2
     785.0     1.181  7.500E+2
     787.0     1.178  7.524E+2
     789.0     1.175  7.548E+2
     791.0     1.159  7.571E+2
     793.0     1.144  7.594E+2
     795.0     1.135  7.616E+2
     797.0     1.153  7.639E+2
     799.0     1.136  7.662E+2
     801.0     1.143  7.685E+2
     803.0     1.130  7.708E+2
     805.0     1.116  7.730E+2
     807.0     1.121  7.752E+2
     809.0     1.096  7.774E+2
     811.0     1.115  7.797E+2
     813.0     1.116  7.819E+2
     815.0     1.108  7.841E+2
     817.0     1.105  7.863E+2
     819.0     1.065  7.884E+2
     821.0     1.081  7.906E+2
     823.0     1.074  7.928E+2
     825.0     1.076  7.949E+2
     827.0     1.077  7.971E+2
     829.0     1.073  7.992E+2
     831.0     1.069  8.014E+2
     833.0     1.034  8.034E+2
     835.0     1.053  8.055E+2
     837.0     1.052  8.076E+2
     839.0     1.042  8.097E+2
     841.0     1.045  8.118E+2
     843.0     1.028  8.139E+2 
     845.0     1.033  8.159E+2
     847.0     1.025  8.180E+2
     849.0     0.971  8.199E+2
     851.0     1.003  8.219E+2
     853.0     0.973  8.239E+2
     855.0     0.877  8.256E+2
     857.0     1.011  8.276E+2
     859.0     0.997  8.296E+2
     861.0     0.997  8.316E+2
     863.0     0.999  8.336E+2
     865.0     0.970  8.356E+2
     867.0     0.880  8.373E+2
     869.0     0.967  8.393E+2
     871.0     0.986  8.412E+2
     873.0     0.978  8.432E+2
     875.0     0.981  8.451E+2
     877.0     0.984  8.471E+2
     879.0     0.959  8.490E+2
     881.0     0.960  8.509E+2
     883.0     0.948  8.528E+2
     885.0     0.963  8.548E+2
     887.0     0.947  8.567E+2
     889.0     0.949  8.586E+2
     891.0     0.944  8.605E+2
     893.0     0.934  8.623E+2 
     895.0     0.936  8.642E+2
     897.0     0.939  8.661E+2
     899.0     0.912  8.679E+2
     901.0     0.905  8.697E+2
     903.0     0.905  8.715E+2
     905.0     0.893  8.733E+2
     907.0     0.891  8.751E+2
     909.0     0.861  8.768E+2
     911.0     0.870  8.785E+2
     913.0     0.876  8.803E+2
     915.0     0.866  8.820E+2
     917.0     0.859  8.837E+2
     919.0     0.858  8.855E+2
     921.0     0.830  8.871E+2
     923.0     0.821  8.888E+2
     925.0     0.825  8.904E+2
     927.0     0.828  8.921E+2
     929.0     0.833  8.937E+2
     931.0     0.826  8.954E+2
     933.0     0.832  8.971E+2
     935.0     0.818  8.987E+2
     937.0     0.802  9.003E+2
     939.0     0.808  9.019E+2
     941.0     0.800  9.035E+2
     943.0     0.784  9.051E+2
     945.0     0.799  9.067E+2
     947.0     0.793  9.083E+2
     949.0     0.777  9.098E+2
     951.0     0.778  9.114E+2
     953.0     0.771  9.129E+2
     955.0     0.760  9.144E+2
     957.0     0.774  9.160E+2
     959.0     0.771  9.175E+2
     961.0     0.767  9.191E+2
     963.0     0.767  9.206E+2
     965.0     0.764  9.221E+2
     967.0     0.757  9.236E+2
     969.0     0.776  9.252E+2
     971.0     0.763  9.267E+2
     973.0     0.764  9.282E+2
     975.0     0.750  9.297E+2
     977.0     0.768  9.313E+2
     979.0     0.768  9.328E+2
     981.0     0.762  9.343E+2
     983.0     0.766  9.359E+2
     985.0     0.771  9.374E+2
     987.0     0.756  9.389E+2
     989.0     0.767  9.405E+2
     991.0     0.764  9.420E+2
     993.0     0.755  9.435E+2
     995.0     0.756  9.450E+2
     997.0     0.743  9.465E+2
     999.0     0.743  9.491E+2
    1002.5     0.745  9.528E+2
    1007.5     0.737  9.565E+2
    1012.5     0.734  9.602E+2
    1017.5     0.721  9.638E+2
    1022.5     0.704  9.673E+2
    1027.5     0.708  9.708E+2
    1032.5     0.688  9.743E+2
    1037.5     0.692  9.777E+2
    1042.5     0.681  9.811E+2
    1047.5     0.685  9.846E+2
    1052.5     0.661  9.879E+2
    1057.5     0.650  9.911E+2
    1062.5     0.642  9.943E+2
    1067.5     0.643  9.975E+2
    1072.5     0.638  1.001E+3
    1077.5     0.630  1.004E+3
    1082.5     0.620  1.007E+3
